#n	k 	time_dot	time_ein
1 	1 	0.000242137908936 	0.000161266326904
2 	1 	8.75949859619e-05 	0.000191187858582
2 	2 	8.71896743774e-05 	0.000206232070923
3 	1 	8.57830047607e-05 	0.000206184387207
3 	2 	8.54730606079e-05 	0.000223588943481
3 	3 	8.25643539429e-05 	0.000238966941833
4 	1 	8.84294509888e-05 	0.000226736068726
4 	2 	8.76188278198e-05 	0.000245237350464
4 	3 	8.89539718628e-05 	0.000265502929687
4 	4 	9.13143157959e-05 	0.000282001495361
5 	1 	0.000102090835571 	0.000251078605652
5 	2 	0.000103211402893 	0.000274419784546
5 	3 	0.000105547904968 	0.000294756889343
5 	4 	0.000104355812073 	0.000320291519165
5 	5 	0.000100612640381 	0.000351119041443
6 	1 	0.000347566604614 	0.000320553779602
6 	2 	0.000260448455811 	0.000345087051392
6 	3 	0.000260877609253 	0.00037088394165
6 	4 	0.000258708000183 	0.000417518615723
6 	5 	0.000258350372314 	0.000478959083557
6 	6 	0.000256276130676 	0.000589084625244
7 	1 	0.000404477119446 	0.00040020942688
7 	2 	0.000409984588623 	0.000434517860413
7 	3 	0.00041036605835 	0.000464606285095
7 	4 	0.000410079956055 	0.00053129196167
7 	5 	0.000406885147095 	0.00063533782959
7 	6 	0.000407910346985 	0.000826573371887
7 	7 	0.000381541252136 	0.00126059055328
8 	1 	0.00105957984924 	0.000532007217407
8 	2 	0.00115225315094 	0.000578117370605
8 	3 	0.00114841461182 	0.000615119934082
8 	4 	0.00115933418274 	0.000739789009094
8 	5 	0.00115730762482 	0.000891137123108
8 	6 	0.0011590719223 	0.00123720169067
8 	7 	0.00106568336487 	0.00205671787262
8 	8 	0.00104877948761 	0.00408413410187
9 	1 	0.00371088981628 	0.000781631469727
9 	2 	0.00377502441406 	0.000855731964111
9 	3 	0.00423316955566 	0.000920438766479
9 	4 	0.00405781269073 	0.00113298892975
9 	5 	0.00404341220856 	0.00141112804413
9 	6 	0.00412094593048 	0.00204758644104
9 	7 	0.00385546684265 	0.00365259647369
9 	8 	0.00383751392365 	0.00760307312012
9 	9 	0.00386934280396 	0.0140263795853
10 	1 	0.0700477361679 	0.00126104354858
10 	2 	0.0710247993469 	0.00136485099792
10 	3 	0.0731831550598 	0.00147743225098
10 	4 	0.0722954273224 	0.00189080238342
10 	5 	0.0734533309937 	0.00241560935974
10 	6 	0.0746830224991 	0.00370328426361
10 	7 	0.071452999115 	0.00678799152374
10 	8 	0.0706469774246 	0.0144899129868
10 	9 	0.0719962835312 	0.0270331859589
10 	10 	0.0721762657166 	0.0777980327606
11 	1 	0.290706562996 	0.00216219425201
11 	2 	0.314548325539 	0.00301828384399
11 	3 	0.302947306633 	0.00341348648071
11 	4 	0.303570580482 	0.00406365394592
11 	5 	0.305086374283 	0.00557358264923
11 	6 	0.317334389687 	0.00853254795074
11 	7 	0.302769422531 	0.0158652305603
11 	8 	0.303790736198 	0.0323715686798
11 	9 	0.297303628922 	0.0608011007309
11 	10 	0.286884403229 	0.156587314606
11 	11 	0.286755275726 	0.310233688354
12 	1 	1.22562692165 	0.00427892208099
12 	2 	1.18581728935 	0.00440092086792
12 	3 	1.14744153023 	0.00470538139343
12 	4 	1.14551589489 	0.00633180141449
12 	5 	1.14708776474 	0.00839712619781
12 	6 	1.21043102741 	0.0152742147446
12 	7 	1.29412636757 	0.0359421014786
12 	8 	1.32369601727 	0.058433508873
12 	9 	1.21042840481 	0.114995789528
12 	10 	1.15789525509 	0.314692926407
12 	11 	1.14635658264 	0.613990688324
12 	12 	1.14494216442 	1.30690031052
